iter	Passed	Remaining
0	1	123
1	2	98
2	2	89
3	3	77
4	3	75
5	4	73
6	5	74
7	6	73
8	6	70
9	7	71
10	8	70
11	9	69
12	10	68
13	10	66
14	11	66
15	12	65
16	13	64
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	60
23	18	59
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	54
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	33
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	65	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
