iter	Passed	Remaining
0	159	159412
1	162	81032
2	164	54537
3	165	41280
4	173	34437
5	175	29106
6	177	25140
7	178	22136
8	180	19864
9	181	17991
10	185	16638
11	189	15605
12	191	14537
13	194	13728
14	199	13090
15	202	12457
16	204	11804
17	205	11226
18	207	10698
19	208	10238
20	210	9807
21	214	9553
22	216	9207
23	221	8988
24	222	8695
25	224	8402
26	230	8291
27	232	8078
28	234	7851
29	236	7636
30	237	7426
31	239	7257
32	243	7127
33	245	6970
34	279	7695
35	280	7515
36	283	7370
37	285	7225
38	290	7155
39	293	7038
40	295	6900
41	296	6760
42	297	6624
43	299	6504
44	301	6392
45	304	6315
46	307	6226
47	310	6159
48	312	6057
49	318	6054
50	322	5996
51	323	5900
52	325	5819
53	327	5736
54	330	5682
55	335	5651
56	337	5581
57	339	5518
58	341	5443
59	343	5378
60	347	5350
61	350	5308
62	352	5242
63	353	5175
64	355	5108
65	356	5042
66	363	5063
67	366	5024
68	368	4975
69	370	4917
70	371	4859
71	374	4820
72	376	4786
73	378	4739
74	380	4696
75	382	4650
76	384	4614
77	387	4580
78	393	4592
79	402	4626
80	409	4647
81	412	4617
82	414	4575
83	416	4540
84	419	4511
85	424	4514
86	428	4491
87	432	4477
88	441	4517
89	443	4479
90	444	4439
91	450	4442
92	457	4458
93	459	4430
94	463	4410
95	468	4408
96	473	4409
97	476	4386
98	480	4372
99	486	4380
100	490	4361
101	498	4391
102	505	4403
103	513	4427
104	516	4399
105	519	4379
106	530	4427
107	535	4424
108	543	4441
109	551	4463
110	554	4442
111	558	4429
112	565	4436
113	568	4414
114	572	4406
115	575	4382
116	577	4360
117	580	4336
118	581	4306
119	583	4279
120	587	4267
121	594	4279
122	597	4259
123	602	4258
124	609	4263
125	611	4242
126	615	4233
127	621	4233
128	628	4241
129	633	4236
130	636	4219
131	642	4223
132	647	4219
133	652	4214
134	656	4206
135	658	4184
136	662	4172
137	665	4154
138	668	4140
139	670	4116
140	674	4106
141	676	4086
142	679	4074
143	683	4060
144	685	4042
145	690	4041
146	694	4030
147	698	4018
148	700	4003
149	703	3987
150	707	3977
151	712	3973
152	714	3955
153	716	3938
154	719	3923
155	724	3917
156	726	3902
157	729	3887
158	734	3885
159	737	3873
160	739	3851
161	742	3838
162	743	3820
163	747	3809
164	752	3809
165	757	3806
166	761	3796
167	765	3792
168	769	3784
169	772	3770
170	774	3753
171	781	3761
172	786	3760
173	789	3747
174	791	3732
175	796	3729
176	801	3728
177	807	3730
178	811	3724
179	820	3737
180	822	3722
181	826	3714
182	829	3705
183	833	3697
184	835	3681
185	841	3681
186	846	3680
187	849	3668
188	851	3651
189	855	3645
190	858	3636
191	862	3631
192	865	3620
193	870	3617
194	886	3660
195	889	3650
196	894	3647
197	901	3649
198	907	3651
199	910	3641
200	917	3645
201	922	3643
202	924	3628
203	927	3618
204	931	3610
205	934	3601
206	937	3592
207	942	3587
208	945	3580
209	951	3579
210	958	3582
211	964	3586
212	967	3575
213	973	3574
214	979	3574
215	981	3562
216	983	3547
217	988	3545
218	991	3536
219	995	3528
220	998	3517
221	1000	3506
222	1004	3499
223	1011	3503
224	1022	3522
225	1026	3514
226	1032	3515
227	1038	3517
228	1042	3510
229	1052	3522
230	1057	3520
231	1063	3519
232	1065	3508
233	1068	3496
234	1071	3487
235	1074	3479
236	1080	3479
237	1083	3470
238	1088	3465
239	1092	3460
240	1097	3457
241	1114	3490
242	1119	3486
243	1125	3486
244	1135	3498
245	1138	3490
246	1140	3478
247	1143	3467
248	1145	3456
249	1150	3451
250	1155	3448
251	1158	3439
252	1165	3440
253	1169	3434
254	1173	3427
255	1178	3425
256	1182	3418
257	1214	3491
258	1219	3487
259	1221	3477
260	1227	3476
261	1230	3466
262	1233	3455
263	1239	3455
264	1243	3448
265	1247	3442
266	1254	3443
267	1257	3433
268	1259	3421
269	1260	3408
270	1264	3400
271	1268	3394
